Entity,Meningitis,Alzheimer,Parkinson,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-Harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-energy Malnutrition,Terrorism,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis
Afghanistan,2622.2,1399.9333333333334,446.56666666666666,2381.766666666667,464.1333333333333,1884.5333333333333,3607.6,4320.7,142.73333333333332,236.46666666666667,4921.233333333334,53568.066666666666,27405.966666666667,23251.133333333335,108.56666666666666,1235.1333333333334,559.0,8194.4,72.9,15653.7,9350.666666666666,3106.9,4489.2,484.3333333333333,2338.766666666667,1451.5925925925926,6944.366666666667,6995.233333333334,3280.633333333333,6231.966666666666,451.96666666666664,3270.266666666667
African Region (WHO),177512.4,41739.63333333333,10618.866666666667,164695.33333333334,715423.1,26726.8,68566.23333333334,91357.56666666667,962955.8,1772.5666666666666,434285.93333333335,829169.3666666667,766931.1333333333,755372.2666666667,5461.1,55034.666666666664,900.3,816185.1,5078.966666666666,369823.56666666665,46761.666666666664,120099.7,92635.26666666666,18519.966666666667,159275.1,,161317.63333333333,152146.83333333334,152629.0,258774.43333333332,21985.8,17516.633333333335
Albania,44.1,551.6333333333333,149.7,18.966666666666665,0.0,79.9,174.73333333333332,8.2,1.9,21.133333333333333,19.766666666666666,9020.1,880.0666666666667,518.9,15.266666666666667,152.9,2.966666666666667,22.566666666666666,5.466666666666667,3419.233333333333,71.5,135.16666666666666,254.53333333333333,16.666666666666668,17.533333333333335,2.4705882352941178,284.06666666666666,754.4,290.56666666666666,496.9,21.2,1.4666666666666666
Algeria,522.8333333333334,2897.133333333333,764.7666666666667,237.93333333333334,2.3333333333333335,809.1,556.7333333333333,982.5,203.36666666666667,353.73333333333335,602.9666666666667,70790.66666666667,5979.3,13190.466666666667,91.6,1498.8666666666666,134.4,1147.0,34.7,15645.966666666667,1031.5666666666666,2967.8333333333335,5155.533333333334,411.23333333333335,213.56666666666666,409.85185185185185,12313.166666666666,5615.1,3064.233333333333,4884.233333333334,920.9333333333333,349.73333333333335
American Samoa,1.0,4.766666666666667,2.3,2.0,0.0,4.0,3.3666666666666667,1.0,0.5,0.0,1.0,95.03333333333333,10.933333333333334,8.2,0.5666666666666667,3.3333333333333335,1.3666666666666667,2.966666666666667,0.8333333333333334,49.13333333333333,0.3333333333333333,32.333333333333336,17.066666666666666,0.0,2.0,,5.466666666666667,20.4,6.033333333333333,11.366666666666667,0.0,0.0
Andorra,0.0,20.466666666666665,4.566666666666666,0.0,0.0,0.0,0.5,0.0,2.8333333333333335,0.0,0.0,117.53333333333333,13.0,0.8,1.0,7.333333333333333,0.0,0.5333333333333333,0.0,167.16666666666666,0.0,6.6,9.733333333333333,0.0,0.0,,8.633333333333333,27.933333333333334,9.433333333333334,18.666666666666668,0.0,1.0
Angola,3696.4333333333334,590.1333333333333,149.53333333333333,7839.366666666667,10568.966666666667,1144.5666666666666,693.1666666666666,2051.5,8145.266666666666,39.666666666666664,15787.866666666667,17501.566666666666,18816.933333333334,18497.366666666665,142.96666666666667,1363.1666666666667,24.733333333333334,27004.933333333334,117.33333333333333,7907.5,1806.7666666666667,2445.5333333333333,1636.0,467.4,7662.1,137.1875,8045.0,3394.9,3979.366666666667,6365.8,523.7333333333333,481.03333333333336
Antigua and Barbuda,1.3333333333333333,14.266666666666667,3.9,2.9,0.0,4.0,3.966666666666667,0.0,8.6,0.2,0.36666666666666664,175.46666666666667,25.966666666666665,8.433333333333334,4.6,2.1666666666666665,1.3,2.066666666666667,0.0,100.13333333333334,0.03333333333333333,44.3,23.1,0.26666666666666666,2.8,0.0,6.233333333333333,8.2,10.033333333333333,18.866666666666667,2.0,0.0
Argentina,584.9333333333333,8724.033333333333,2275.9333333333334,1468.8666666666666,4.1,810.0,2416.866666666667,417.3666666666667,1620.5,51.166666666666664,1012.9666666666667,94537.6,23247.133333333335,5798.233333333334,904.9,4260.3,14.166666666666666,771.8333333333334,52.233333333333334,70455.53333333334,25.766666666666666,9273.366666666667,11917.1,288.46666666666664,1397.8333333333333,6.25,5736.033333333334,15465.066666666668,6716.0,14090.533333333333,699.7,57.733333333333334
Armenia,14.1,523.8,124.63333333333334,27.233333333333334,0.16666666666666666,150.63333333333333,175.0,12.566666666666666,8.8,7.5,127.66666666666667,12954.5,624.1,485.73333333333335,86.4,210.26666666666668,0.43333333333333335,113.4,139.06666666666666,5136.733333333334,11.9,1152.1666666666667,252.36666666666667,39.4,10.8,2.642857142857143,340.43333333333334,1180.5333333333333,803.3333333333334,1288.8666666666666,98.13333333333334,5.133333333333334
Australia,65.83333333333333,7020.833333333333,1602.8,125.93333333333334,0.0,227.26666666666668,321.96666666666664,16.566666666666666,202.23333333333332,795.5333333333333,85.13333333333334,48042.63333333333,2918.0333333333333,641.4666666666667,439.03333333333336,2605.266666666667,8.633333333333333,131.63333333333333,42.4,40761.933333333334,1.8333333333333333,3334.2,3136.866666666667,47.233333333333334,96.63333333333334,0.8888888888888888,1904.5333333333333,8366.8,1685.1666666666667,4880.1,133.76666666666668,9.6
Austria,38.4,3378.366666666667,788.8333333333334,7.966666666666667,0.0,80.2,77.8,3.7666666666666666,66.83333333333333,161.36666666666667,75.03333333333333,34389.066666666666,1139.9,181.33333333333334,375.4,1558.8,11.2,49.833333333333336,30.766666666666666,20816.233333333334,1.0,1978.3,1871.4,27.4,1.3333333333333333,0.5625,819.5666666666667,2848.3333333333335,2028.3333333333333,3501.233333333333,51.766666666666666,3.2666666666666666
Azerbaijan,142.4,839.6666666666666,238.23333333333332,71.7,1.0666666666666667,442.6333333333333,662.0333333333333,53.7,38.4,27.766666666666666,1024.6333333333334,34223.8,4897.666666666667,2749.733333333333,220.66666666666666,320.1333333333333,6.933333333333334,599.0,141.06666666666666,8789.333333333334,196.1,1471.3666666666666,971.5,99.7,55.1,17.2,828.0,1930.5,2609.633333333333,3427.3333333333335,481.96666666666664,46.166666666666664
Bahamas,4.1,38.9,10.766666666666667,5.666666666666667,0.0,23.8,81.23333333333333,3.6333333333333333,161.5,1.4333333333333333,8.066666666666666,608.3,73.6,35.7,12.633333333333333,9.266666666666667,3.566666666666667,4.9,1.0,389.1,0.5,106.76666666666667,69.53333333333333,1.2,4.8,0.5,58.36666666666667,35.1,46.7,88.5,9.9,0.3
Bahrain,3.7666666666666666,33.833333333333336,11.033333333333333,3.6333333333333333,0.0,12.8,23.233333333333334,5.566666666666666,9.2,1.9666666666666666,12.0,857.7,53.13333333333333,68.4,3.8666666666666667,63.233333333333334,0.0,8.766666666666667,0.5666666666666667,439.1,1.9333333333333333,318.4,93.46666666666667,1.9333333333333333,3.433333333333333,2.75,153.93333333333334,117.93333333333334,80.36666666666666,132.26666666666668,12.366666666666667,3.533333333333333
Bangladesh,3152.1666666666665,7583.233333333334,2517.5666666666666,23408.933333333334,11645.833333333334,23726.766666666666,3746.7,10467.166666666666,147.8,219.43333333333334,48053.8,204123.03333333333,68755.66666666667,92412.93333333333,263.56666666666666,8694.9,5166.766666666666,52662.53333333333,159.7,68805.2,115.2,19931.433333333334,9428.033333333333,513.7,19967.533333333333,34.55555555555556,8329.8,58351.36666666667,25617.333333333332,41675.53333333333,1586.4666666666667,5553.3
Barbados,4.466666666666667,79.5,19.9,8.5,0.0,11.633333333333333,30.066666666666666,1.9666666666666666,39.63333333333333,0.8,2.3333333333333335,782.6,130.36666666666667,29.5,5.766666666666667,13.266666666666667,0.1,5.666666666666667,0.0,597.7666666666667,0.3333333333333333,253.53333333333333,83.2,0.6333333333333333,5.833333333333333,3.0,31.733333333333334,48.36666666666667,37.46666666666667,90.33333333333333,4.866666666666666,0.3
Belarus,99.63333333333334,2789.366666666667,541.9666666666667,59.166666666666664,0.0,1263.6,1124.9,20.466666666666665,245.36666666666667,277.3333333333333,574.4,77009.56666666667,1358.4,406.46666666666664,2593.7,3350.1,1.4333333333333333,27.133333333333333,901.7666666666667,21039.666666666668,3.466666666666667,570.5666666666667,418.6666666666667,580.8666666666667,30.4,1.5555555555555556,2026.4333333333334,4381.933333333333,2054.266666666667,3937.866666666667,822.2,25.833333333333332
Belgium,56.36666666666667,4632.866666666667,1000.3,236.3,0.0,92.33333333333333,192.66666666666666,7.733333333333333,99.86666666666666,164.7,123.06666666666666,34594.2,5070.6,254.46666666666667,398.1333333333333,2294.5333333333333,1.4666666666666666,503.9,46.733333333333334,30733.233333333334,5.5,1760.3333333333333,2092.366666666667,54.53333333333333,204.66666666666666,3.1875,1379.7,6979.166666666667,1972.6,5124.133333333333,139.66666666666666,8.566666666666666
Belize,3.3666666666666667,28.5,6.833333333333333,13.1,0.16666666666666666,20.233333333333334,64.5,3.8,61.4,0.7,13.9,319.4,86.33333333333333,70.9,5.833333333333333,17.5,2.1333333333333333,14.733333333333333,0.0,178.9,1.8,91.9,59.733333333333334,2.0,12.033333333333333,0.75,59.5,44.166666666666664,38.36666666666667,63.4,3.566666666666667,0.36666666666666664
Benin,2332.6,448.8,126.8,1491.6,10561.133333333333,383.9,538.7333333333333,1161.7666666666667,2696.4,8.7,2650.3,8216.966666666667,9036.266666666666,10710.733333333334,46.7,498.5,4.066666666666666,6557.333333333333,58.36666666666667,3390.4333333333334,1.0333333333333334,997.5,1110.3,188.46666666666667,1446.6333333333334,0.0,1506.5666666666666,1493.2333333333333,1557.2666666666667,2654.6,259.7,209.36666666666667
Bermuda,0.3333333333333333,18.733333333333334,5.666666666666667,0.2,0.0,2.4,2.1,0.0,10.433333333333334,1.1,0.0,179.46666666666667,13.933333333333334,2.1333333333333333,1.0,3.1333333333333333,0.2,0.36666666666666664,0.0,138.53333333333333,0.0,20.5,13.033333333333333,0.16666666666666666,0.0,,8.6,13.333333333333334,7.766666666666667,17.2,0.0,0.0
