Entity,Deaths - Neoplasms - Sex: Both - Age: 70+ years (Rate),Deaths - Neoplasms - Sex: Both - Age: 50-69 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 15-49 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 5-14 years (Rate),Deaths - Neoplasms - Sex: Both - Age: Under 5 (Rate),Latitude,Longitude
Afghanistan,1023.7906666666668,402.733,37.741333333333344,9.132666666666667,13.748,33.7680065,66.2385139
Albania,891.3850000000001,265.1653333333333,27.705666666666673,7.692666666666668,10.28666666666667,41.000028,19.9999619
Algeria,588.2176666666667,166.5713333333333,17.847333333333335,5.331333333333334,3.976666666666666,28.000027199999998,2.9999825
Andorra,1593.11,384.3736666666666,36.959,3.645666666666668,6.275333333333332,42.540716700000004,1.5732033
Angola,788.2533333333333,282.8326666666666,21.982,4.2029999999999985,13.679333333333336,-11.877576800000002,17.5691241
Antigua and Barbuda,1381.7089999999996,292.01866666666666,23.71333333333333,4.169,6.201999999999999,17.223472100000002,-61.9554608
Argentina,1374.869,426.8063333333334,35.001999999999995,5.2316666666666665,5.851666666666667,-34.9964963,-64.9672817
Armenia,986.0896666666667,425.98533333333336,39.555333333333344,7.375000000000003,9.004666666666667,40.7696272,44.6736646
Australia,1328.724,325.30066666666664,25.899,3.0916666666666663,3.79,-24.7761086,134.755
Austria,1319.0376666666666,365.8146666666667,28.96666666666668,2.881666666666668,3.2060000000000004,47.2000338,13.199959
Azerbaijan,814.1286666666667,361.11233333333337,37.52133333333333,11.132000000000005,8.602,40.3936294,47.787250799999995
Bahamas,1232.6033333333332,356.21899999999994,41.21966666666667,4.2396666666666665,5.1613333333333316,24.7736546,-78.0000547
Bahrain,1256.3673333333334,228.49133333333333,17.139000000000006,3.870333333333333,2.8953333333333333,26.155124899999997,50.5344606
Bangladesh,585.846,227.743,21.234666666666673,7.2056666666666676,8.834666666666664,24.4768783,90.2932426
Barbados,1504.1813333333332,349.80699999999996,38.78,4.959999999999999,5.379333333333333,13.1500331,-59.52503050000001
Belarus,920.1893333333333,472.6633333333333,44.47433333333334,5.245333333333332,8.657,53.4250605,27.6971358
Belgium,1516.16,408.2426666666667,31.13533333333335,3.0660000000000003,3.6286666666666663,50.6402809,4.666714499999999
Belize,898.3426666666667,246.0823333333333,23.149,4.109666666666667,6.219666666666668,16.8259793,-88.7600927
Benin,820.0343333333329,241.51333333333332,17.343,3.839,12.196,9.5293472,2.2584408
Bhutan,587.3849999999999,197.71233333333333,17.198666666666668,3.205,11.044333333333332,27.549511,90.5119273
Bolivia,1362.5860000000002,367.6326666666666,29.246,7.966999999999999,12.998333333333335,-17.056869600000002,-64.9912286
Bosnia and Herzegovina,1167.1286666666667,436.84,35.09933333333333,3.879666666666666,4.506,44.305347600000005,17.596146700000002
Botswana,1150.312,418.7916666666666,29.03766666666667,2.6270000000000007,2.3553333333333337,-23.1681782,24.5928742
Brazil,972.5893333333336,304.80366666666663,28.329666666666665,6.0900000000000025,9.668,-10.333333300000001,-53.2
Brunei,1689.0263333333332,372.52200000000016,35.50233333333335,5.656666666666667,6.425666666666666,4.4137154999999995,114.5653908
Bulgaria,902.0153333333334,437.28566666666666,47.39833333333333,5.222333333333332,7.323000000000001,42.6073975,25.4856617
Burkina Faso,772.5453333333332,220.543,17.706666666666667,3.336666666666667,12.516333333333336,12.075308300000001,-1.6880313999999998
Burundi,799.9986666666667,320.23966666666666,27.14633333333333,4.456000000000001,18.236666666666668,-3.3634357,29.8870575
Cambodia,836.6623333333334,306.5050000000001,27.79466666666667,7.949333333333333,14.243333333333332,13.5066394,104.869423
Cameroon,889.6743333333334,274.95933333333335,20.115666666666673,4.163666666666667,6.731333333333334,4.6125522000000005,13.153581099999998
Canada,1370.8393333333333,351.7510000000001,26.89033333333333,3.116,3.636333333333333,61.0666922,-107.9917071
Central African Republic,770.8453333333333,363.907,27.16133333333333,4.119,11.940999999999999,7.0323598,19.9981227
Chad,778.9480000000002,242.91100000000003,17.175333333333334,3.6746666666666674,9.581,15.613413699999999,19.015617199999998
Chile,1367.6693333333335,318.8276666666667,25.82266666666666,4.596666666666667,4.792666666666666,-31.7613365,-71.3187697
China,1226.272,389.9676666666666,39.96766666666665,6.608333333333333,12.984000000000005,35.000074,104.999927
Colombia,920.2806666666664,242.56966666666668,24.216999999999995,6.611666666666666,7.506666666666668,2.8894433999999998,-73.78389200000001
Costa Rica,1136.0253333333333,251.557,24.521,4.73,4.702000000000001,10.2735633,-84.0739102
Cote d'Ivoire,899.3933333333334,259.15766666666667,18.867,3.9643333333333337,8.491,7.9897371,-5.5679457999999995
Croatia,1352.5786666666668,477.3373333333335,38.406,3.646,4.8660000000000005,45.5643442,17.0118954
Cuba,1233.6149999999996,336.1166666666666,31.07400000000001,5.005333333333334,6.098,23.013133800000002,-80.8328748
Cyprus,1147.1946666666665,263.967,18.404333333333334,3.0306666666666664,3.067333333333333,34.982301799999995,33.1451285
Czechia,1431.531,486.7230000000001,35.00266666666667,3.6716666666666664,4.597,49.816700299999994,15.4749544
